0.083,0.083,0.083,0.083,0.083,3.738,C-Maj
0.083,0.083,0.415,0.664,0.083,3.738,C-Maj
0.083,0.083,0.664,0.415,0.083,3.738,C-Maj
0.083,0.415,0.083,0.664,0.083,3.738,C-Maj
0.083,0.415,0.415,0.664,0.083,3.738,C-Maj
0.083,0.415,0.664,0.083,0.083,3.738,C-Maj
0.083,0.415,0.664,0.415,0.083,3.738,C-Maj
0.083,0.415,0.664,0.664,0.083,3.738,C-Maj
0.083,0.664,0.083,0.415,0.083,3.738,C-Maj
0.083,0.664,0.415,0.083,0.083,3.738,C-Maj
0.083,0.664,0.415,0.415,0.083,3.738,C-Maj
0.083,0.664,0.415,0.664,0.083,3.738,C-Maj
0.083,0.664,0.664,0.415,0.083,3.738,C-Maj
0.415,0.083,0.083,0.664,0.083,3.738,C-Maj
0.415,0.083,0.415,0.664,0.083,3.738,C-Maj
0.415,0.083,0.664,0.083,0.083,3.738,C-Maj
0.415,0.083,0.664,0.415,0.083,3.738,C-Maj
0.415,0.083,0.664,0.664,0.083,3.738,C-Maj
0.415,0.415,0.083,0.664,0.083,3.738,C-Maj
0.415,0.415,0.664,0.083,0.083,3.738,C-Maj
0.415,0.664,0.083,0.083,0.083,3.738,C-Maj
0.415,0.664,0.083,0.415,0.083,3.738,C-Maj
0.415,0.664,0.083,0.664,0.083,3.738,C-Maj
0.415,0.664,0.415,0.083,0.083,3.738,C-Maj
0.415,0.664,0.664,0.083,0.083,3.738,C-Maj
0.664,0.083,0.083,0.415,0.083,3.738,C-Maj
0.664,0.083,0.415,0.083,0.083,3.738,C-Maj
0.664,0.083,0.415,0.415,0.083,3.738,C-Maj
0.664,0.083,0.415,0.664,0.083,3.738,C-Maj
0.664,0.083,0.664,0.415,0.083,3.738,C-Maj
0.664,0.415,0.083,0.083,0.083,3.738,C-Maj
0.664,0.415,0.083,0.415,0.083,3.738,C-Maj
0.664,0.415,0.083,0.664,0.083,3.738,C-Maj
0.664,0.415,0.415,0.083,0.083,3.738,C-Maj
0.664,0.415,0.664,0.083,0.083,3.738,C-Maj
0.664,0.664,0.083,0.415,0.083,3.738,C-Maj
0.664,0.664,0.415,0.083,0.083,3.738,C-Maj
0.249,0.249,0.498,0.833,0.249,3.738,d-min
0.249,0.249,0.833,0.498,0.249,3.738,d-min
0.249,0.498,0.249,0.833,0.249,3.738,d-min
0.249,0.498,0.498,0.833,0.249,3.738,d-min
0.249,0.498,0.833,0.249,0.249,3.738,d-min
0.249,0.498,0.833,0.498,0.249,3.738,d-min
0.249,0.498,0.833,0.833,0.249,3.738,d-min
0.249,0.833,0.249,0.498,0.249,3.738,d-min
0.249,0.833,0.498,0.249,0.249,3.738,d-min
0.249,0.833,0.498,0.498,0.249,3.738,d-min
0.249,0.833,0.498,0.833,0.249,3.738,d-min
0.249,0.833,0.833,0.498,0.249,3.738,d-min
0.498,0.249,0.249,0.833,0.249,3.738,d-min
0.498,0.249,0.498,0.833,0.249,3.738,d-min
0.498,0.249,0.833,0.249,0.249,3.738,d-min
0.498,0.249,0.833,0.498,0.249,3.738,d-min
0.498,0.249,0.833,0.833,0.249,3.738,d-min
0.498,0.498,0.249,0.833,0.249,3.738,d-min
0.498,0.498,0.833,0.249,0.249,3.738,d-min
0.498,0.833,0.249,0.249,0.249,3.738,d-min
0.498,0.833,0.249,0.498,0.249,3.738,d-min
0.498,0.833,0.249,0.833,0.249,3.738,d-min
0.498,0.833,0.498,0.249,0.249,3.738,d-min
0.498,0.833,0.833,0.249,0.249,3.738,d-min
0.833,0.249,0.249,0.498,0.249,3.738,d-min
0.833,0.249,0.498,0.249,0.249,3.738,d-min
0.833,0.249,0.498,0.498,0.249,3.738,d-min
0.833,0.249,0.498,0.833,0.249,3.738,d-min
0.833,0.249,0.833,0.498,0.249,3.738,d-min
0.833,0.498,0.249,0.249,0.249,3.738,d-min
0.833,0.498,0.249,0.498,0.249,3.738,d-min
0.833,0.498,0.249,0.833,0.249,3.738,d-min
0.833,0.498,0.498,0.249,0.249,3.738,d-min
0.833,0.498,0.833,0.249,0.249,3.738,d-min
0.833,0.833,0.249,0.498,0.249,3.738,d-min
0.833,0.833,0.498,0.249,0.249,3.738,d-min
0.415,0.415,0.664,0.996,0.415,3.738,e-min
0.415,0.415,0.996,0.664,0.415,3.738,e-min
0.415,0.664,0.415,0.996,0.415,3.738,e-min
0.415,0.664,0.664,0.996,0.415,3.738,e-min
0.415,0.664,0.996,0.415,0.415,3.738,e-min
0.415,0.664,0.996,0.664,0.415,3.738,e-min
0.415,0.664,0.996,0.996,0.415,3.738,e-min
0.415,0.996,0.415,0.664,0.415,3.738,e-min
0.415,0.996,0.664,0.415,0.415,3.738,e-min
0.415,0.996,0.664,0.664,0.415,3.738,e-min
